longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.0,38.0,8,880.0,129.0,322.0,126.0,8.0,9,NEAR OCEAN
-122.0,38.0,3,7099.0,1106.0,2401.0,1138.0,8.0,8,NEAR OCEAN
-122.0,38.0,9,1467.0,190.0,496.0,177.0,7.0,8,NEAR OCEAN
-122.0,38.0,9,1274.0,235.0,558.0,219.0,6.0,8,NEAR OCEAN
-122.0,38.0,9,1627.0,280.0,565.0,259.0,4.0,8,NEAR OCEAN
-122.0,38.0,9,919.0,213.0,413.0,193.0,4.0,7,NEAR OCEAN
-122.0,38.0,9,2535.0,489.0,1094.0,514.0,4.0,8,NEAR OCEAN
-122.0,38.0,9,3104.0,687.0,1157.0,647.0,3.0,6,NEAR OCEAN
-122.0,38.0,8,2555.0,665.0,1206.0,595.0,2.0,6,NEAR OCEAN
-122.0,38.0,9,3549.0,707.0,1551.0,714.0,4.0,7,NEAR OCEAN
-122.0,38.0,9,2202.0,434.0,910.0,402.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,3503.0,752.0,1504.0,734.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,2491.0,474.0,1098.0,468.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,696.0,191.0,345.0,174.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,2643.0,626.0,1212.0,620.0,2.0,4,NEAR OCEAN
-122.0,38.0,9,1120.0,283.0,697.0,264.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,1966.0,347.0,793.0,331.0,3.0,3,NEAR OCEAN
-122.0,38.0,9,1228.0,293.0,648.0,303.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,2239.0,455.0,990.0,419.0,2.0,4,NEAR OCEAN
-122.0,38.0,9,1503.0,298.0,690.0,275.0,3.0,4,NEAR OCEAN
-122.0,38.0,7,751.0,184.0,409.0,166.0,1.0,3,NEAR OCEAN
-122.0,38.0,8,1639.0,367.0,929.0,366.0,2.0,4,NEAR OCEAN
-122.0,38.0,9,2436.0,541.0,1015.0,478.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1688.0,337.0,853.0,325.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2224.0,437.0,1006.0,422.0,3.0,2,NEAR OCEAN
-122.0,38.0,8,535.0,123.0,317.0,119.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1130.0,244.0,607.0,239.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1898.0,421.0,1102.0,397.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,2082.0,492.0,1131.0,473.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,729.0,160.0,395.0,155.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1916.0,447.0,863.0,378.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,2153.0,481.0,1168.0,441.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1922.0,409.0,1026.0,335.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,1655.0,366.0,754.0,329.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,2665.0,574.0,1258.0,536.0,3.0,2,NEAR OCEAN
-122.0,38.0,9,1215.0,282.0,570.0,264.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1798.0,432.0,987.0,374.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1511.0,390.0,901.0,403.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1470.0,330.0,689.0,309.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,2432.0,715.0,1377.0,696.0,3.0,4,NEAR OCEAN
-122.0,38.0,9,1665.0,419.0,946.0,395.0,2.0,3,NEAR OCEAN
-122.0,38.0,9,936.0,311.0,517.0,249.0,1.0,3,NEAR OCEAN
-122.0,38.0,9,713.0,202.0,462.0,189.0,1.0,2,NEAR OCEAN
-122.0,38.0,9,950.0,202.0,467.0,198.0,4.0,5,NEAR OCEAN
-122.0,38.0,9,1443.0,311.0,660.0,292.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,1656.0,420.0,718.0,382.0,3.0,5,NEAR OCEAN
-122.0,38.0,9,1125.0,322.0,616.0,304.0,2.0,3,NEAR OCEAN
-122.0,38.0,8,1007.0,312.0,558.0,253.0,2.0,3,NEAR OCEAN
-122.0,38.0,7,624.0,195.0,423.0,160.0,1.0,5,NEAR OCEAN
-122.0,38.0,7,946.0,375.0,700.0,352.0,2.0,2,NEAR OCEAN
-122.0,38.0,3,896.0,453.0,735.0,438.0,1.0,4,NEAR OCEAN
-122.0,38.0,8,1868.0,456.0,1061.0,407.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,3221.0,853.0,1959.0,720.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1630.0,456.0,1162.0,400.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1170.0,235.0,701.0,233.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,945.0,243.0,576.0,220.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1238.0,288.0,622.0,259.0,2.0,1,NEAR OCEAN
-122.0,38.0,9,1489.0,335.0,728.0,244.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1387.0,341.0,1074.0,304.0,1.0,0,NEAR OCEAN
-122.0,38.0,0,158.0,43.0,94.0,57.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,1121.0,211.0,554.0,187.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,135.0,29.0,86.0,23.0,6.0,0,NEAR OCEAN
-122.0,38.0,9,760.0,190.0,377.0,122.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1224.0,237.0,521.0,159.0,1.0,0,NEAR OCEAN
-122.0,38.0,9,828.0,182.0,392.0,133.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,1010.0,209.0,604.0,187.0,1.0,0,NEAR OCEAN
-122.0,38.0,9,1455.0,354.0,788.0,332.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,1027.0,244.0,492.0,147.0,3.0,0,NEAR OCEAN
-122.0,38.0,9,572.0,109.0,274.0,82.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,2801.0,644.0,1823.0,611.0,1.0,2,NEAR OCEAN
-122.0,38.0,4,768.0,152.0,392.0,127.0,2.0,1,NEAR OCEAN
-122.0,38.0,8,935.0,297.0,582.0,277.0,1.0,1,NEAR OCEAN
-122.0,38.0,9,844.0,204.0,560.0,152.0,2.0,0,NEAR OCEAN
-122.0,38.0,8,12.0,4.0,18.0,7.0,0.0,0,NEAR OCEAN
-122.0,38.0,2,835.0,161.0,290.0,133.0,2.0,3,NEAR OCEAN
-122.0,38.0,1,1237.0,462.0,762.0,439.0,1.0,4,NEAR OCEAN
-122.0,38.0,6,2914.0,562.0,1236.0,509.0,2.0,1,NEAR OCEAN
-122.0,38.0,2,1207.0,243.0,721.0,207.0,1.0,2,NEAR OCEAN
-122.0,38.0,3,1745.0,374.0,1054.0,325.0,1.0,2,NEAR OCEAN
-122.0,38.0,7,684.0,176.0,344.0,155.0,2.0,2,NEAR OCEAN
-122.0,38.0,1,924.0,289.0,609.0,289.0,2.0,4,NEAR OCEAN
-122.0,38.0,9,210.0,56.0,183.0,56.0,1.0,2,NEAR OCEAN
-122.0,38.0,9,340.0,97.0,200.0,87.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,386.0,164.0,346.0,155.0,1.0,3,NEAR OCEAN
-122.0,38.0,6,948.0,184.0,467.0,169.0,2.0,2,NEAR OCEAN
-122.0,38.0,9,773.0,143.0,377.0,115.0,2.0,1,NEAR OCEAN
-122.0,38.0,7,880.0,451.0,582.0,380.0,1.0,2,NEAR OCEAN
-122.0,38.0,0,875.0,348.0,546.0,330.0,1.0,4,NEAR OCEAN
-122.0,38.0,0,105.0,42.0,125.0,39.0,1.0,3,NEAR OCEAN
-122.0,38.0,9,249.0,78.0,396.0,85.0,1.0,9,NEAR OCEAN
-122.0,38.0,1,994.0,392.0,800.0,362.0,2.0,4,NEAR OCEAN
-122.0,38.0,9,215.0,87.0,904.0,88.0,1.0,3,NEAR OCEAN
-122.0,38.0,9,96.0,31.0,191.0,34.0,1.0,4,NEAR OCEAN
-122.0,38.0,4,1055.0,347.0,718.0,302.0,3.0,5,NEAR OCEAN
-122.0,38.0,7,1715.0,623.0,1327.0,467.0,2.0,4,NEAR OCEAN
-122.0,38.0,6,5329.0,2477.0,3469.0,2323.0,2.0,2,NEAR OCEAN
-122.0,38.0,5,4596.0,1331.0,2048.0,1180.0,3.0,5,NEAR OCEAN
-122.0,38.0,4,335.0,107.0,202.0,91.0,2.0,2,NEAR OCEAN
-122.0,38.0,3,3682.0,1270.0,2024.0,1250.0,1.0,4,NEAR OCEAN
-122.0,38.0,7,3633.0,1085.0,1838.0,980.0,3.0,5,NEAR OCEAN
-122.0,38.0,4,4656.0,1414.0,2304.0,1250.0,2.0,7,NEAR OCEAN
-122.0,38.0,4,5806.0,1603.0,2563.0,1497.0,3.0,7,NEAR OCEAN
-122.0,38.0,7,854.0,242.0,389.0,228.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,2155.0,701.0,895.0,613.0,3.0,8,NEAR OCEAN
-122.0,38.0,6,5871.0,1914.0,2689.0,1789.0,3.0,8,NEAR OCEAN
-122.0,38.0,9,1509.0,225.0,674.0,244.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,2026.0,482.0,709.0,456.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,1758.0,460.0,686.0,422.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,3481.0,751.0,1444.0,718.0,4.0,7,NEAR OCEAN
-122.0,38.0,4,3337.0,855.0,1520.0,802.0,4.0,6,NEAR OCEAN
-122.0,38.0,9,1424.0,289.0,550.0,253.0,5.0,7,NEAR OCEAN
-122.0,38.0,5,3809.0,1098.0,1806.0,1022.0,3.0,6,NEAR OCEAN
-122.0,38.0,4,3959.0,1196.0,1749.0,1217.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,2376.0,559.0,939.0,519.0,3.0,6,NEAR OCEAN
-122.0,38.0,6,1613.0,428.0,675.0,422.0,3.0,7,NEAR OCEAN
-122.0,38.0,9,1279.0,287.0,534.0,291.0,3.0,6,NEAR OCEAN
-122.0,38.0,4,5022.0,1750.0,2558.0,1661.0,2.0,6,NEAR OCEAN
-122.0,38.0,9,4190.0,1105.0,1786.0,1037.0,3.0,6,NEAR OCEAN
-122.0,38.0,9,2515.0,399.0,970.0,373.0,6.0,8,NEAR OCEAN
-122.0,38.0,9,3175.0,454.0,1098.0,485.0,5.0,8,NEAR OCEAN
-122.0,38.0,8,2576.0,406.0,794.0,376.0,6.0,8,NEAR OCEAN
-122.0,38.0,7,334.0,54.0,98.0,47.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,2800.0,411.0,1061.0,403.0,6.0,8,NEAR OCEAN
-122.0,38.0,9,3529.0,574.0,1177.0,555.0,5.0,9,NEAR OCEAN
-122.0,38.0,9,2612.0,365.0,901.0,367.0,7.0,9,NEAR OCEAN
-122.0,38.0,4,5287.0,1048.0,2031.0,956.0,5.0,8,NEAR OCEAN
-122.0,38.0,9,2935.0,473.0,1031.0,479.0,8.0,8,NEAR OCEAN
-122.0,38.0,8,3424.0,597.0,1358.0,597.0,6.0,8,NEAR OCEAN
-122.0,38.0,7,4991.0,674.0,1616.0,654.0,8.0,9,NEAR OCEAN
-122.0,38.0,5,2211.0,346.0,844.0,343.0,6.0,8,NEAR OCEAN
-122.0,38.0,6,3038.0,490.0,1140.0,496.0,7.0,8,NEAR OCEAN
-122.0,38.0,2,1617.0,210.0,533.0,194.0,12.0,9,NEAR OCEAN
-122.0,38.0,6,2865.0,460.0,1072.0,443.0,7.0,8,NEAR OCEAN
-122.0,38.0,6,5065.0,788.0,1627.0,766.0,7.0,8,NEAR OCEAN
-122.0,38.0,4,1326.0,184.0,463.0,190.0,8.0,8,NEAR OCEAN
-122.0,38.0,4,1589.0,223.0,542.0,211.0,8.0,8,NEAR OCEAN
-122.0,38.0,4,1791.0,271.0,661.0,269.0,7.0,8,NEAR OCEAN
-122.0,38.0,5,1835.0,264.0,635.0,263.0,8.0,8,NEAR OCEAN
-122.0,38.0,7,1229.0,181.0,420.0,176.0,7.0,8,NEAR OCEAN
