gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,662,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,1917,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,2171,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,3120,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,3351,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,3718,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,4388,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,4972,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,7746,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,8622,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,9025,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,9157,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,10168,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,11529,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,12551,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,19507,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,19999,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,20085,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,25487,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,26026,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,26072,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,28767,>50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,29398,>50K
